,search_date,title,address,floor_info,price,layout,building_area,building_use
326,2018-05-14,竹北高鐵-精裝大四房2衛，高級家電家俱全,新竹縣竹北市復興一街,4F/13F,"38,000元/月",4房2廳2衛2陽臺,67.0,電梯大樓/整層住家
332,2018-05-14,一個皮箱即可入住,桃園市平鎮區湧安路,4F/15F,"15,000元/月",2房2廳1衛1陽臺,25.0,電梯大樓/整層住家
334,2018-05-14,3大房精美屋,桃園市龜山區幸福二十三街,5F/6F,"10,000元/月",3房1廳1衛1陽臺,27.0,公寓/整層住家
335,2018-05-13,摩天溫馨套房出租,新北市淡水區新春街,8F/31F,"8,500元/月",1房0廳1衛1陽臺,12.58,電梯大樓/整層住家
356,2018-05-09,3房2聽2衛1陽台(免仲介費傢俱家電全),台中市北屯區軍福十三路,11F/11F,"22,000元/月",3房2廳2衛1陽臺,34.0,電梯大樓/整層住家
364,2018-05-14,竹北惠友紳三房雙平面車位近高鐵,新竹縣竹北市嘉豐南路一段,8F/18F,"32,000元/月",3房2廳2衛1陽臺,50.0,電梯大樓/整層住家
371,2018-05-11,居住環境靠近市場、學校、平鎮交流道,桃園市平鎮區龍德路,整棟/2F,"14,000元/月",3房1廳2衛1陽臺,34.0,透天厝/整層住家
375,2018-05-14,近客庄國小、漁香園餐廳,苗栗縣苑裡鎮南興路,整棟/2F,"14,000元/月",3房2廳2衛2陽臺,28.0,透天厝/整層住家
376,2018-05-14,海洋技術學院淡水校區附近,新北市淡水區新市二路三段,5F/15F,"19,000元/月",4房2廳2衛1陽臺,60.0,電梯大樓/整層住家
381,2018-05-09,連城路大三房雅寓－超美住家,新北市中和區連城路,4F/5F,"20,000元/月",3房2廳2衛1陽臺,34.0,公寓/整層住家
382,2018-05-13,快樂頌社區、樓中樓、視野佳,桃園市中壢區溪洲三街,9F/12F,"13,000元/月",2房2廳2衛1陽臺,25.0,電梯大樓/整層住家
384,2018-05-12,3房2廳1衛附家具家電,新北市五股區成泰路三段,8F/8F,"19,000元/月",3房2廳1衛0陽臺,30.0,電梯大樓/整層住家
388,2018-05-14,2房1廳1廚一衛大空間,新北市蘆洲區永平街,7F/7F,"13,000元/月",2房1廳1衛0陽臺,20.0,電梯大樓/整層住家
393,2018-05-14,文山特區青年商圈文市店住1+2,高雄市鳳山區文清街,2F/7F,"12,000元/月",3房2廳1衛1陽臺,40.54,電梯大樓/住辦
397,2018-05-10,吉屋出租歡迎來電,新北市三峽區溪東路,1F/1F,"15,000元/月",3房2廳2衛0陽臺,70.0,公寓/整層住家
412,2018-05-10,平鎮大觀苑社區，北歐風裝潢,桃園市平鎮區新富街,8F/15F,"16,500元/月",2房2廳1衛2陽臺,30.0,電梯大樓/整層住家
415,2018-05-13,全新未住3+1房+雙車位,桃園市桃園區民有十二街,7F/15F,"27,000元/月",4房2廳2衛2陽臺,51.0,電梯大樓/整層住家
422,2018-05-12,南區新地標親家M3全新裝潢三房二廳+車位,台中市南區工學北路,8F/26F,"23,000元/月",3房2廳2衛1陽臺,50.0,公寓/整層住家
427,2018-05-14,電梯2房優質社區生活機能佳,新北市中和區連城路,13F/16F,"23,000元/月",2房2廳1衛1陽臺,23.1,電梯大樓/整層住家
429,2018-05-14,大四房(4~6人)日月光/海專/高雄大學,高雄市楠梓區惠民路,4F/5F,"13,300元/月",4房2廳2衛2陽臺,33.0,公寓/整層住家
431,2018-05-10,人本至善優質社區,台中市西屯區青海路二段,7F/14F,"22,000元/月",3房2廳2衛1陽臺,44.0,公寓/整層住家
